location,location_mentions_after_forming_government,unique_comments_after_forming_government,comment_share_after_forming_government,location_mentions_post_june_2026,unique_comments_post_june_2026,comment_share_post_june_2026,mention_delta,comment_share_delta,growth_rate
Dhaka,1037.0,1006.0,0.24223452925595954,1953.0,1953.0,0.5299864314789688,916.0,0.2877519022230093,0.8833172613307618
Chattogram,264.0,241.0,0.058030339513604624,635.0,635.0,0.1723202170963365,371.0,0.11428987758273187,1.4053030303030303
Sylhet,77.0,66.0,0.01589212617385023,292.0,292.0,0.07924016282225238,215.0,0.06334803664840215,2.792207792207792
Cumilla,79.0,66.0,0.01589212617385023,244.0,244.0,0.06621438263229308,165.0,0.05032225645844285,2.088607594936709
Rangpur,57.0,56.0,0.013484228268721405,162.0,162.0,0.04396200814111262,105.0,0.03047777987239121,1.8421052631578947
Khulna,124.0,119.0,0.02865398507103299,223.0,223.0,0.060515603799185885,99.0,0.03186161872815289,0.7983870967741935
Barishal,120.0,109.0,0.026246087165904167,214.0,214.0,0.05807327001356852,94.0,0.03182718284766435,0.7833333333333333
Mymensingh,55.0,55.0,0.013243438478208525,135.0,135.0,0.036635006784260515,80.0,0.02339156830605199,1.4545454545454546
Gazipur,72.0,71.0,0.01709607512641464,146.0,146.0,0.03962008141112619,74.0,0.02252400628471155,1.0277777777777777
Rajshahi,52.0,47.0,0.011317120154105466,124.0,124.0,0.03364993215739484,72.0,0.022332812003289376,1.3846153846153846
Feni,25.0,24.0,0.005778954972309174,83.0,83.0,0.022523744911804613,58.0,0.01674478993949544,2.32
Tangail,29.0,29.0,0.006982903924873585,87.0,87.0,0.02360922659430122,58.0,0.016626322669427634,2.0
Chandpur,28.0,28.0,0.006742114134360703,81.0,81.0,0.02198100407055631,53.0,0.015238889936195606,1.8928571428571428
Narayanganj,24.0,24.0,0.005778954972309174,69.0,69.0,0.018724559023066484,45.0,0.012945604050757311,1.875
Narsingdi,18.0,18.0,0.004334216229231881,62.0,62.0,0.01682496607869742,44.0,0.012490749849465538,2.4444444444444446
Bhola,22.0,22.0,0.005297375391283409,61.0,61.0,0.01655359565807327,39.0,0.011256220266789862,1.7727272727272727
Bogura,36.0,32.0,0.007705273296412232,74.0,74.0,0.020081411126187245,38.0,0.012376137829775013,1.0555555555555556
Faridpur,19.0,19.0,0.004575006019744763,56.0,56.0,0.01519674355495251,37.0,0.010621737535207747,1.9473684210526316
Jessore,24.0,24.0,0.005778954972309174,55.0,55.0,0.014925373134328358,31.0,0.009146418162019183,1.2916666666666667
Madaripur,4.0,4.0,0.000963159162051529,35.0,35.0,0.009497964721845319,31.0,0.00853480555979379,7.75
Naogaon,6.0,6.0,0.0014447387430772936,36.0,36.0,0.00976933514246947,30.0,0.008324596399392177,5.0
Habiganj,7.0,7.0,0.0016855285335901757,36.0,36.0,0.00976933514246947,29.0,0.008083806608879295,4.142857142857143
Kishoreganj,28.0,28.0,0.006742114134360703,57.0,57.0,0.015468113975576661,29.0,0.00872599984121596,1.0357142857142858
Pabna,34.0,34.0,0.008186852877437997,63.0,63.0,0.017096336499321574,29.0,0.008909483621883577,0.8529411764705882
Brahmanbaria,19.0,19.0,0.004575006019744763,47.0,47.0,0.012754409769335142,28.0,0.00817940374959038,1.4736842105263157
Cox's Bazar,36.0,32.0,0.007705273296412232,63.0,63.0,0.017096336499321574,27.0,0.009391063202909342,0.75
